ID,선수명,연도,타수,안타,홈런,볼넷,삼진,타점,도루,타율,출루율,장타율,OPS,다음연도,다음OPS
1,안치홍,2021,421,129,10,52,58,82,3,0.306,0.379,0.458,0.837,2022.0,0.79
1,안치홍,2022,493,140,14,51,52,58,7,0.284,0.354,0.436,0.79,2023.0,0.774
1,안치홍,2023,425,124,8,49,53,63,3,0.292,0.374,0.4,0.774,2024.0,0.797
1,안치홍,2024,473,142,13,49,70,66,3,0.3,0.37,0.427,0.797,2025.0,0.475
1,안치홍,2025,174,30,2,16,39,18,3,0.172,0.245,0.23,0.475,,
2,안치영,2023,124,36,0,6,35,9,7,0.29,0.331,0.331,0.662,2024.0,0.533
2,안치영,2024,44,11,0,2,12,3,0,0.25,0.283,0.25,0.533,2025.0,0.645
2,안치영,2025,44,10,1,4,13,6,0,0.227,0.327,0.318,0.645,,
6,안익훈,2021,14,2,0,0,2,1,0,0.143,0.25,0.214,0.464,2022.0,0.25
6,안익훈,2022,3,0,0,1,0,0,0,0.0,0.25,0.0,0.25,2023.0,0.712
6,안익훈,2023,22,7,0,0,2,2,0,0.318,0.348,0.364,0.712,2024.0,0.445
6,안익훈,2024,49,9,0,4,13,3,2,0.184,0.241,0.204,0.445,,
8,안주형,2022,20,3,0,1,6,2,0,0.15,0.182,0.15,0.332,2023.0,0.626
8,안주형,2023,79,19,1,10,20,10,0,0.241,0.322,0.304,0.626,2024.0,0.511
8,안주형,2024,142,31,0,11,39,8,4,0.218,0.279,0.232,0.511,2025.0,0.69
8,안주형,2025,17,4,1,1,5,2,0,0.235,0.278,0.412,0.69,,
9,안정열,2021,125,29,3,27,25,16,0,0.232,0.37,0.344,0.714,2022.0,0.525
9,안정열,2022,71,11,2,11,19,2,0,0.155,0.286,0.239,0.525,2023.0,0.588
9,안정열,2023,154,30,4,16,45,17,0,0.195,0.276,0.312,0.588,2024.0,0.979
9,안정열,2024,21,6,2,3,7,4,0,0.286,0.36,0.619,0.979,2025.0,0.492
9,안정열,2025,49,7,0,8,15,6,0,0.143,0.288,0.204,0.492,,
10,안상현,2021,39,10,1,1,15,4,3,0.256,0.275,0.385,0.66,2022.0,0.589
10,안상현,2022,38,6,2,5,12,5,2,0.158,0.273,0.316,0.589,2023.0,0.595
10,안상현,2023,58,14,0,5,15,2,3,0.241,0.302,0.293,0.595,2024.0,0.402
10,안상현,2024,70,12,0,4,14,2,1,0.171,0.216,0.186,0.402,2025.0,0.694
10,안상현,2025,258,68,6,18,85,15,17,0.264,0.314,0.38,0.694,,
13,배정대,2021,510,132,12,65,132,68,19,0.259,0.353,0.378,0.731,2022.0,0.695
13,배정대,2022,508,135,6,54,126,56,19,0.266,0.339,0.356,0.695,2023.0,0.703
13,배정대,2023,311,86,2,38,76,38,13,0.277,0.356,0.347,0.703,2024.0,0.749
13,배정대,2024,404,111,7,50,114,59,9,0.275,0.355,0.394,0.749,2025.0,0.571
13,배정대,2025,240,49,2,19,65,28,6,0.204,0.279,0.292,0.571,,
15,백동훈,2021,3,0,0,0,2,0,0,0.0,0.0,0.0,0.0,,
21,백용환,2021,5,0,0,2,2,0,0,0.0,0.286,0.0,0.286,2021.0,
21,백용환,2021,81,12,4,9,24,4,0,0.148,0.258,0.309,0.567,2022.0,0.6
21,백용환,2022,5,1,0,0,1,0,0,0.2,0.2,0.4,0.6,,
22,박병호,2021,409,93,20,47,141,76,0,0.227,0.323,0.43,0.753,2022.0,0.908
22,박병호,2022,429,118,35,40,131,98,5,0.275,0.349,0.559,0.908,2023.0,0.8
22,박병호,2023,431,122,18,46,114,87,2,0.283,0.357,0.443,0.8,2024.0,0.638
22,박병호,2024,101,20,3,16,38,10,1,0.198,0.331,0.307,0.638,2024.0,
22,박병호,2024,249,61,20,31,83,60,3,0.245,0.333,0.506,0.839,2025.0,0.769
22,박병호,2025,196,39,15,27,70,33,0,0.199,0.315,0.454,0.769,,
25,박찬호,2021,418,103,1,54,73,59,9,0.246,0.331,0.313,0.644,2022.0,0.685
25,박찬호,2022,493,134,4,57,67,45,42,0.272,0.344,0.341,0.685,2023.0,0.734
25,박찬호,2023,452,136,3,40,56,52,30,0.301,0.356,0.378,0.734,2024.0,0.749
25,박찬호,2024,515,158,5,48,44,61,20,0.307,0.363,0.386,0.749,2025.0,0.722
25,박찬호,2025,516,148,5,62,69,42,27,0.287,0.363,0.359,0.722,,
28,박대온,2021,85,18,0,4,21,5,0,0.212,0.242,0.224,0.466,2022.0,0.428
28,박대온,2022,127,23,1,0,37,10,0,0.181,0.192,0.236,0.428,2023.0,0.757
28,박대온,2023,28,8,0,3,8,3,0,0.286,0.364,0.393,0.757,,
29,박동원,2021,413,103,22,53,114,83,2,0.249,0.342,0.46,0.802,2022.0,0.744
29,박동원,2022,33,7,1,7,8,4,0,0.212,0.35,0.394,0.744,2022.0,
29,박동원,2022,352,86,17,38,87,53,1,0.244,0.333,0.44,0.773,2023.0,0.777
29,박동원,2023,409,102,20,49,90,75,0,0.249,0.334,0.443,0.777,2024.0,0.81
29,박동원,2024,434,118,20,55,112,80,1,0.272,0.349,0.461,0.81,2025.0,0.797
29,박동원,2025,451,114,22,62,124,76,4,0.253,0.342,0.455,0.797,,
30,박건우,2021,458,149,6,50,72,63,13,0.325,0.4,0.441,0.841,2022.0,0.866
30,박건우,2022,408,137,10,44,62,61,3,0.336,0.408,0.458,0.866,2023.0,0.877
30,박건우,2023,458,146,12,56,71,85,7,0.319,0.397,0.48,0.877,2024.0,0.951
30,박건우,2024,323,111,13,33,54,53,4,0.344,0.409,0.542,0.951,2025.0,0.797
30,박건우,2025,384,111,9,47,63,67,6,0.289,0.37,0.427,0.797,,
33,박계범,2021,322,86,5,44,68,46,4,0.267,0.368,0.357,0.725,2022.0,0.607
33,박계범,2022,145,32,2,12,40,14,5,0.221,0.29,0.317,0.607,2023.0,0.576
33,박계범,2023,169,37,2,15,44,15,2,0.219,0.286,0.29,0.576,2024.0,0.667
33,박계범,2024,15,3,0,5,7,0,1,0.2,0.4,0.267,0.667,2025.0,0.673
33,박계범,2025,175,46,1,14,45,27,3,0.263,0.319,0.354,0.673,,
35,박경수,2021,239,46,9,34,76,33,0,0.192,0.301,0.347,0.648,2022.0,0.427
35,박경수,2022,166,20,3,24,70,10,0,0.12,0.234,0.193,0.427,2023.0,0.601
35,박경수,2023,185,37,1,30,46,12,0,0.2,0.315,0.286,0.601,2024.0,1.667
35,박경수,2024,3,2,0,0,1,1,0,0.667,0.667,1.0,1.667,,
39,박해민,2021,454,132,5,69,82,54,36,0.291,0.383,0.377,0.76,2022.0,0.715
39,박해민,2022,570,165,3,44,85,49,24,0.289,0.347,0.368,0.715,2023.0,0.707
39,박해민,2023,485,138,6,45,74,59,26,0.285,0.348,0.359,0.707,2024.0,0.695
39,박해민,2024,482,127,6,46,101,56,43,0.263,0.336,0.359,0.695,2025.0,0.725
39,박해민,2025,442,122,3,68,94,43,49,0.276,0.379,0.346,0.725,,
49,박정음,2021,14,0,0,2,3,1,4,0.0,0.167,0.0,0.167,,
52,박정현,2021,107,21,0,9,32,9,1,0.196,0.256,0.234,0.49,2022.0,0.606
52,박정현,2022,205,50,3,12,56,19,6,0.244,0.289,0.317,0.606,2023.0,0.513
52,박정현,2023,105,19,2,3,36,4,0,0.181,0.218,0.295,0.513,2025.0,
52,박정현,2025,2,0,0,0,1,0,0,0.0,0.0,0.0,0.0,,
55,박정우,2021,48,9,0,10,8,4,0,0.188,0.35,0.208,0.558,2022.0,0.666
55,박정우,2022,3,1,0,0,1,2,0,0.333,0.333,0.333,0.666,2023.0,0.666
55,박정우,2023,9,3,0,0,1,0,0,0.333,0.333,0.333,0.666,2024.0,0.733
55,박정우,2024,65,20,0,4,14,11,0,0.308,0.348,0.385,0.733,2025.0,0.706
55,박정우,2025,62,17,0,10,12,4,2,0.274,0.4,0.306,0.706,,
62,박주홍,2021,47,5,0,9,21,3,1,0.106,0.25,0.149,0.399,2022.0,0.619
62,박주홍,2022,49,11,0,8,18,3,0,0.224,0.333,0.286,0.619,2023.0,0.359
62,박주홍,2023,49,6,0,5,26,2,1,0.122,0.196,0.163,0.359,2024.0,0.397
62,박주홍,2024,49,5,0,10,17,1,2,0.102,0.254,0.143,0.397,2025.0,0.641
62,박주홍,2025,248,56,3,30,72,23,11,0.226,0.31,0.331,0.641,,
65,박준태,2021,46,9,0,10,16,4,1,0.196,0.362,0.261,0.623,2022.0,0.546
65,박준태,2022,70,11,1,11,33,10,0,0.157,0.289,0.257,0.546,2023.0,0.343
65,박준태,2023,14,2,0,1,7,1,0,0.143,0.2,0.143,0.343,,
66,박준영,2021,273,57,8,27,92,31,4,0.209,0.301,0.337,0.638,2022.0,0.63
